;  Table pcf850lpsys.tab  Mon 12:21:20 02-Jun-97
;      WAVELENGTH      THROUGHPUT
;       angstroms                
         9100.094      0.03264608
         9101.598      0.03260993
         9103.112      0.03257347
         9104.611       0.0325373
         9106.121      0.03250083
         9107.631       0.0324643
         9109.141      0.03242771
         9110.651      0.03238685
         9112.152      0.03234073
         9113.663      0.03229428
         9115.174       0.0322478
         9116.686      0.03220125
         9118.197      0.03215468
         9119.704      0.03210821
         9121.211      0.03206591
         9122.723      0.03202443
         9124.235      0.03198288
         9125.749      0.03194127
         9127.257      0.03189976
         9128.765      0.03185821
         9130.278      0.03181662
         9131.792      0.03177574
         9133.307      0.03173479
         9134.821      0.03169378
          9136.33      0.03165289
          9137.84      0.03161191
         9139.355      0.03157073
         9140.871      0.03152471
         9142.387      0.03147512
         9143.902       0.0314255
         9145.413      0.03137601
         9146.925      0.03132647
         9148.446      0.03127659
         9149.958      0.03122699
         9151.476      0.03119083
         9152.987      0.03115514
         9154.505      0.03111923
         9156.023      0.03108324
         9157.536      0.03104732
         9159.055      0.03101118
         9160.573      0.03096869
         9162.087      0.03091597
         9163.611      0.03086285
          9165.12      0.03081026
          9166.64      0.03075728
          9168.16      0.03070424
          9169.68      0.03065123
         9171.195      0.03060808
         9172.711      0.03056748
         9174.231      0.03052671
         9175.753      0.03048584
         9177.274      0.03044493
         9178.796      0.03040394
         9180.313       0.0303616
          9181.83      0.03031361
         9183.353      0.03026542
         9184.875       0.0302172
         9186.398      0.03016892
         9187.916      0.03012078
         9189.439      0.03007243
         9190.958      0.03002729
         9192.482      0.02998373
         9194.006      0.02994015
          9195.53      0.02989649
          9197.05      0.02985292
          9198.57      0.02980926
         9200.096      0.02976518
         9201.621       0.0297175
         9203.146      0.02966979
         9204.672      0.02962202
         9206.188       0.0295745
         9207.715      0.02952664
         9209.241      0.02947873
         9210.769       0.0294329
         9212.296      0.02938911
         9213.813      0.02934558
         9215.346      0.02930152
         9216.868      0.02925772
         9218.396      0.02921369
         9219.925      0.02916962
         9221.449      0.02912641
         9222.978      0.02908307
         9224.507      0.02903966
         9226.031      0.02899633
         9227.562      0.02895277
         9229.086      0.02890933
         9230.621      0.02886245
         9232.152      0.02881116
         9233.673      0.02876019
