# Vega spectrum from Kurucz models, resolution 500
# microns	erg/s/cm2/micron
0.218345	7.67428e+11
0.218564	7.37269e+11
0.218783	7.17163e+11
0.219003	7.33499e+11
0.219222	7.45940e+11
0.219442	7.68936e+11
0.219662	7.94320e+11
0.219882	7.87911e+11
0.220103	7.67931e+11
0.220323	7.65795e+11
0.220544	7.46945e+11
0.220765	7.13519e+11
0.220987	6.89265e+11
0.221208	6.77453e+11
0.221430	6.84616e+11
0.221652	6.90773e+11
0.221874	6.97559e+11
0.222097	6.98062e+11
0.222319	6.88260e+11
0.222542	6.74688e+11
0.222765	6.82982e+11
0.222989	7.13267e+11
0.223212	7.33122e+11
0.223436	7.49961e+11
0.223660	7.55742e+11
0.223884	7.39280e+11
0.224109	7.08995e+11
0.224333	6.76448e+11
0.224558	6.74060e+11
0.224783	6.70919e+11
0.225009	6.58478e+11
0.225234	6.60865e+11
0.225460	6.42770e+11
0.225686	6.41890e+11
0.225912	6.68154e+11
0.226139	6.81977e+11
0.226365	6.85873e+11
0.226592	6.67903e+11
0.226820	6.67023e+11
0.227047	6.98439e+11
0.227275	7.21687e+11
0.227502	7.00952e+11
0.227730	6.73683e+11
0.227959	6.87255e+11
0.228187	7.12765e+11
0.228416	7.13016e+11
0.228645	7.18168e+11
0.228874	7.33625e+11
0.229104	7.38023e+11
0.229333	7.07612e+11
0.229563	6.71170e+11
0.229793	6.28695e+11
0.230024	6.38372e+11
0.230254	6.66897e+11
0.230485	6.72050e+11
0.230716	6.79715e+11
0.230948	6.81474e+11
0.231179	6.50435e+11
0.231411	6.25931e+11
0.231643	6.50812e+11
0.231875	6.57221e+11
0.232107	6.63504e+11
0.232340	6.73683e+11
0.232573	6.39251e+11
0.232806	6.24423e+11
0.233040	6.35733e+11
0.233273	6.18014e+11
0.233507	6.18517e+11
0.233741	6.23669e+11
0.233976	6.20527e+11
0.234210	6.01175e+11
0.234445	5.53800e+11
0.234680	5.60334e+11
0.234915	6.04694e+11
0.235151	6.44655e+11
0.235386	6.38120e+11
0.235622	6.23543e+11
0.235859	6.07710e+11
0.236095	5.69131e+11
0.236332	5.79561e+11
0.236569	5.89614e+11
0.236806	6.02180e+11
0.237043	6.13239e+11
0.237281	6.11731e+11
0.237519	6.06453e+11
0.237757	6.12736e+11
0.237995	5.61842e+11
0.238234	5.00519e+11
0.238473	5.40480e+11
0.238712	5.80441e+11
0.238951	5.61214e+11
0.239191	5.90368e+11
0.239430	5.88483e+11
0.239670	5.63853e+11
0.239911	5.76671e+11
0.240151	5.80315e+11
0.240392	5.62219e+11
0.240633	5.34950e+11
0.240874	5.49653e+11
0.241116	5.52166e+11
0.241357	5.72273e+11
0.241599	5.93761e+11
0.241841	6.14998e+11
0.242084	6.46163e+11
0.242327	6.26685e+11
0.242570	5.95772e+11
0.242813	5.84588e+11
0.243056	5.77676e+11
0.243300	5.80566e+11
0.243544	5.64230e+11
0.243788	5.80315e+11
0.244032	6.23543e+11
0.244277	6.42267e+11
0.244522	6.06704e+11
0.244767	5.86473e+11
0.245012	5.89237e+11
0.245258	5.94264e+11
0.245504	6.11354e+11
0.245750	6.20653e+11
0.245996	6.07458e+11
0.246243	5.89614e+11
0.246490	5.78933e+11
0.246737	5.80441e+11
0.246984	5.79184e+11
0.247232	5.69508e+11
0.247480	5.80441e+11
0.247728	5.82703e+11
0.247976	5.69885e+11
0.248225	5.73152e+11
0.248474	5.78179e+11
0.248723	6.02180e+11
0.248972	5.87478e+11
0.249222	5.65612e+11
0.249471	5.96400e+11
0.249722	6.22412e+11
0.249972	6.28193e+11
0.250222	6.34225e+11
0.250473	6.18517e+11
0.250724	6.03940e+11
0.250976	6.00044e+11
0.251227	5.88483e+11
0.251479	5.92253e+11
0.251731	5.94264e+11
0.251984	5.85216e+11
0.252236	5.72901e+11
0.252489	5.48145e+11
0.252742	5.19996e+11
0.252996	5.35202e+11
0.253249	5.79938e+11
0.253503	5.72524e+11
0.253757	5.22761e+11
0.254012	5.07179e+11
0.254266	5.35830e+11
0.254521	5.47768e+11
0.254776	5.23138e+11
0.255032	5.09818e+11
0.255288	5.69131e+11
0.255543	5.96777e+11
0.255800	5.80441e+11
0.256056	5.65738e+11
0.256313	5.60334e+11
0.256570	5.84462e+11
0.256827	6.08589e+11
0.257084	6.17763e+11
0.257342	6.11480e+11
0.257600	6.03437e+11
0.257858	6.04568e+11
0.258117	6.14370e+11
0.258376	6.05448e+11
0.258635	5.96023e+11
0.258894	6.05196e+11
0.259153	6.09846e+11
0.259413	6.10600e+11
0.259673	5.99793e+11
